ID,fileName,startFrame,endFrame
29,29_F3_H2,2190.27452,2705.46884
29,29_F3_H2,2705.46884,3388.04204
29,29_F3_H2,3388.04204,3918.66848
29,29_F3_H2,3918.66848,4636.85408
29,29_F3_H2,4636.85408,5125.93268
29,29_F3_H2,5125.93268,5712.35204
29,29_F3_H2,5712.35204,6275.02976
29,29_F3_H2,6275.02976,6857.88788
29,29_F3_H2,6857.88788,7348.1534
29,29_F3_H2,7348.1534,8022.41708
29,29_F3_H2,8022.41708,8591.03012
29,29_F3_H2,8591.03012,9086.04404
29,29_F3_H2,9086.04404,9497.96216
29,29_F3_H2,9497.96216,10072.51076
29,29_F3_H2,10072.51076,10750.33556
29,29_F3_H2,10750.33556,11144.44736
30,30_D2_S2,571.62192,1081.02276
30,30_D2_S2,1081.02276,1774.10184
30,30_D2_S2,1774.10184,2218.6032
30,30_D2_S2,2218.6032,2911.68228
30,30_D2_S2,2911.68228,3482.30916
30,30_D2_S2,3482.30916,4127.63196
30,30_D2_S2,4127.63196,4612.54248
30,30_D2_S2,5383.99092,5969.31216
30,30_D2_S2,5969.31216,6521.57124
30,30_D2_S2,6521.57124,7252.61052
30,30_D2_S2,7252.61052,7758.3378
30,30_D2_S2,7758.3378,8463.66216
30,30_D2_S2,8463.66216,9079.59636
30,30_D2_S2,9079.59636,9688.18356
30,30_D2_S2,9688.18356,10304.11776
30,30_D2_S2,10304.11776,11008.21752
30,30_D2_S2,11008.21752,11413.53408
31,31_H3_H3,642.94956,1203.35604
31,31_H3_H3,1203.35604,1764.99972
31,31_H3_H3,1764.99972,2292.00444
31,31_H3_H3,3167.87148,3663.94884
31,31_H3_H3,3663.94884,4448.2704
31,31_H3_H3,4448.2704,4969.08972
31,31_H3_H3,4969.08972,5694.0306
31,31_H3_H3,5694.0306,6148.0464
31,31_H3_H3,6148.0464,6821.02908
31,31_H3_H3,6821.02908,7438.34208
31,31_H3_H3,7438.34208,8181.83952
31,31_H3_H3,8181.83952,8646.98928
31,31_H3_H3,8646.98928,9318.73476
31,31_H3_H3,9318.73476,9834.60564
31,31_H3_H3,9834.60564,10424.70252
31,31_H3_H3,10424.70252,11133.561
31,31_H3_H3,11133.561,11522.0106
32,32_F2_D3,820.28032,1615.54384
32,32_F2_D3,1615.54384,2346.85264
32,32_F2_D3,2346.85264,2827.9036
